[VAMS][2017-01-05 17:21:12,003] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,003] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,003] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,004] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,004] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,004] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,004] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,004] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,004] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,004] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,004] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,004] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,004] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,005] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,005] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,005] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,005] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,005] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,005] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,005] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,005] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,005] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,005] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,006] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,006] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,006] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,006] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,006] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,006] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,006] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,006] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,006] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,006] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,006] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,007] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,007] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,007] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,007] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,007] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,007] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,007] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,007] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,007] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,007] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,008] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,008] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,008] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,008] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,008] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,008] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,008] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,008] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,008] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,008] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,008] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,009] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,009] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,009] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,009] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,009] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,009] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,009] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,009] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,010] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
